industry,industry_label.value,EarnS,year,quarter
52,Finance and Insurance,,2000,1
54,"Professional, Scientific, and Technical Services",,2000,1
52,Finance and Insurance,7446,2000,2
54,"Professional, Scientific, and Technical Services",5331,2000,2
52,Finance and Insurance,6964,2000,3
54,"Professional, Scientific, and Technical Services",5270,2000,3
52,Finance and Insurance,8927,2000,4
54,"Professional, Scientific, and Technical Services",6467,2000,4
52,Finance and Insurance,16350,2001,1
54,"Professional, Scientific, and Technical Services",5784,2001,1
52,Finance and Insurance,7877,2001,2
54,"Professional, Scientific, and Technical Services",5495,2001,2
52,Finance and Insurance,7538,2001,3
54,"Professional, Scientific, and Technical Services",5476,2001,3
52,Finance and Insurance,9798,2001,4
54,"Professional, Scientific, and Technical Services",6441,2001,4
52,Finance and Insurance,17419,2002,1
54,"Professional, Scientific, and Technical Services",5741,2002,1
52,Finance and Insurance,7877,2002,2
54,"Professional, Scientific, and Technical Services",5648,2002,2
52,Finance and Insurance,7202,2002,3
54,"Professional, Scientific, and Technical Services",5470,2002,3
52,Finance and Insurance,9170,2002,4
54,"Professional, Scientific, and Technical Services",6542,2002,4
52,Finance and Insurance,14476,2003,1
54,"Professional, Scientific, and Technical Services",5790,2003,1
52,Finance and Insurance,7948,2003,2
54,"Professional, Scientific, and Technical Services",5695,2003,2
52,Finance and Insurance,7565,2003,3
54,"Professional, Scientific, and Technical Services",5654,2003,3
52,Finance and Insurance,10815,2003,4
54,"Professional, Scientific, and Technical Services",6738,2003,4
52,Finance and Insurance,20766,2004,1
54,"Professional, Scientific, and Technical Services",6071,2004,1
52,Finance and Insurance,8002,2004,2
54,"Professional, Scientific, and Technical Services",5804,2004,2
52,Finance and Insurance,8439,2004,3
54,"Professional, Scientific, and Technical Services",5871,2004,3
52,Finance and Insurance,11593,2004,4
54,"Professional, Scientific, and Technical Services",7307,2004,4
52,Finance and Insurance,23294,2005,1
54,"Professional, Scientific, and Technical Services",6393,2005,1
52,Finance and Insurance,8651,2005,2
54,"Professional, Scientific, and Technical Services",6162,2005,2
52,Finance and Insurance,9024,2005,3
54,"Professional, Scientific, and Technical Services",6287,2005,3
52,Finance and Insurance,12126,2005,4
54,"Professional, Scientific, and Technical Services",7377,2005,4
52,Finance and Insurance,26990,2006,1
54,"Professional, Scientific, and Technical Services",6830,2006,1
52,Finance and Insurance,9529,2006,2
54,"Professional, Scientific, and Technical Services",6366,2006,2
52,Finance and Insurance,9162,2006,3
54,"Professional, Scientific, and Technical Services",6352,2006,3
52,Finance and Insurance,12894,2006,4
54,"Professional, Scientific, and Technical Services",7925,2006,4
52,Finance and Insurance,32534,2007,1
54,"Professional, Scientific, and Technical Services",7302,2007,1
52,Finance and Insurance,10275,2007,2
54,"Professional, Scientific, and Technical Services",6746,2007,2
52,Finance and Insurance,10327,2007,3
54,"Professional, Scientific, and Technical Services",6819,2007,3
52,Finance and Insurance,13451,2007,4
54,"Professional, Scientific, and Technical Services",8520,2007,4
52,Finance and Insurance,31599,2008,1
54,"Professional, Scientific, and Technical Services",7819,2008,1
52,Finance and Insurance,10324,2008,2
54,"Professional, Scientific, and Technical Services",7034,2008,2
52,Finance and Insurance,10449,2008,3
54,"Professional, Scientific, and Technical Services",6991,2008,3
52,Finance and Insurance,13471,2008,4
54,"Professional, Scientific, and Technical Services",8349,2008,4
52,Finance and Insurance,20486,2009,1
54,"Professional, Scientific, and Technical Services",7348,2009,1
52,Finance and Insurance,9736,2009,2
54,"Professional, Scientific, and Technical Services",6923,2009,2
52,Finance and Insurance,9939,2009,3
54,"Professional, Scientific, and Technical Services",6904,2009,3
52,Finance and Insurance,13564,2009,4
54,"Professional, Scientific, and Technical Services",8370,2009,4
52,Finance and Insurance,25222,2010,1
54,"Professional, Scientific, and Technical Services",7510,2010,1
52,Finance and Insurance,11658,2010,2
54,"Professional, Scientific, and Technical Services",7185,2010,2
52,Finance and Insurance,10653,2010,3
54,"Professional, Scientific, and Technical Services",7198,2010,3
52,Finance and Insurance,13975,2010,4
54,"Professional, Scientific, and Technical Services",8860,2010,4
52,Finance and Insurance,27978,2011,1
54,"Professional, Scientific, and Technical Services",8021,2011,1
52,Finance and Insurance,11009,2011,2
54,"Professional, Scientific, and Technical Services",7515,2011,2
52,Finance and Insurance,11508,2011,3
54,"Professional, Scientific, and Technical Services",7543,2011,3
52,Finance and Insurance,13938,2011,4
54,"Professional, Scientific, and Technical Services",8733,2011,4
52,Finance and Insurance,24630,2012,1
54,"Professional, Scientific, and Technical Services",8337,2012,1
52,Finance and Insurance,11163,2012,2
54,"Professional, Scientific, and Technical Services",7659,2012,2
52,Finance and Insurance,11159,2012,3
54,"Professional, Scientific, and Technical Services",7476,2012,3
52,Finance and Insurance,16824,2012,4
54,"Professional, Scientific, and Technical Services",9175,2012,4
52,Finance and Insurance,25126,2013,1
54,"Professional, Scientific, and Technical Services",8408,2013,1
52,Finance and Insurance,11555,2013,2
54,"Professional, Scientific, and Technical Services",7832,2013,2
52,Finance and Insurance,11296,2013,3
54,"Professional, Scientific, and Technical Services",7747,2013,3
52,Finance and Insurance,15898,2013,4
54,"Professional, Scientific, and Technical Services",9296,2013,4
52,Finance and Insurance,29521,2014,1
54,"Professional, Scientific, and Technical Services",8994,2014,1
52,Finance and Insurance,12067,2014,2
54,"Professional, Scientific, and Technical Services",8037,2014,2
52,Finance and Insurance,11932,2014,3
54,"Professional, Scientific, and Technical Services",8142,2014,3
52,Finance and Insurance,,2014,4
54,"Professional, Scientific, and Technical Services",,2014,4
52,Finance and Insurance,,2000,1
54,"Professional, Scientific, and Technical Services",,2000,1
52,Finance and Insurance,,2000,1
54,"Professional, Scientific, and Technical Services",,2000,1
52,Finance and Insurance,,2000,1
54,"Professional, Scientific, and Technical Services",,2000,1
52,Finance and Insurance,,2000,1
54,"Professional, Scientific, and Technical Services",,2000,1
52,Finance and Insurance,3933,2000,2
54,"Professional, Scientific, and Technical Services",3376,2000,2
52,Finance and Insurance,4295,2000,2
54,"Professional, Scientific, and Technical Services",3614,2000,2
52,Finance and Insurance,9341,2000,2
54,"Professional, Scientific, and Technical Services",6500,2000,2
52,Finance and Insurance,3962,2000,2
54,"Professional, Scientific, and Technical Services",3085,2000,2
52,Finance and Insurance,3871,2000,3
54,"Professional, Scientific, and Technical Services",3294,2000,3
52,Finance and Insurance,4254,2000,3
54,"Professional, Scientific, and Technical Services",3678,2000,3
52,Finance and Insurance,8522,2000,3
54,"Professional, Scientific, and Technical Services",6393,2000,3
52,Finance and Insurance,3842,2000,3
54,"Professional, Scientific, and Technical Services",3069,2000,3
52,Finance and Insurance,4403,2000,4
54,"Professional, Scientific, and Technical Services",3697,2000,4
52,Finance and Insurance,4416,2000,4
54,"Professional, Scientific, and Technical Services",4166,2000,4
52,Finance and Insurance,11265,2000,4
54,"Professional, Scientific, and Technical Services",8079,2000,4
52,Finance and Insurance,4165,2000,4
54,"Professional, Scientific, and Technical Services",3875,2000,4
52,Finance and Insurance,5373,2001,1
54,"Professional, Scientific, and Technical Services",2711,2001,1
52,Finance and Insurance,8239,2001,1
54,"Professional, Scientific, and Technical Services",3691,2001,1
52,Finance and Insurance,22412,2001,1
54,"Professional, Scientific, and Technical Services",7180,2001,1
52,Finance and Insurance,5219,2001,1
54,"Professional, Scientific, and Technical Services",3029,2001,1
52,Finance and Insurance,4511,2001,2
54,"Professional, Scientific, and Technical Services",2974,2001,2
52,Finance and Insurance,5671,2001,2
54,"Professional, Scientific, and Technical Services",3604,2001,2
52,Finance and Insurance,9794,2001,2
54,"Professional, Scientific, and Technical Services",6707,2001,2
52,Finance and Insurance,4140,2001,2
54,"Professional, Scientific, and Technical Services",3443,2001,2
52,Finance and Insurance,3644,2001,3
54,"Professional, Scientific, and Technical Services",3154,2001,3
52,Finance and Insurance,5192,2001,3
54,"Professional, Scientific, and Technical Services",3598,2001,3
52,Finance and Insurance,9291,2001,3
54,"Professional, Scientific, and Technical Services",6708,2001,3
52,Finance and Insurance,9919,2001,3
54,"Professional, Scientific, and Technical Services",3102,2001,3
52,Finance and Insurance,4129,2001,4
54,"Professional, Scientific, and Technical Services",4191,2001,4
52,Finance and Insurance,4887,2001,4
54,"Professional, Scientific, and Technical Services",3975,2001,4
52,Finance and Insurance,12764,2001,4
54,"Professional, Scientific, and Technical Services",7998,2001,4
52,Finance and Insurance,4274,2001,4
54,"Professional, Scientific, and Technical Services",4138,2001,4
52,Finance and Insurance,4227,2002,1
54,"Professional, Scientific, and Technical Services",2659,2002,1
52,Finance and Insurance,6648,2002,1
54,"Professional, Scientific, and Technical Services",3302,2002,1
52,Finance and Insurance,24998,2002,1
54,"Professional, Scientific, and Technical Services",7188,2002,1
52,Finance and Insurance,5422,2002,1
54,"Professional, Scientific, and Technical Services",3186,2002,1
52,Finance and Insurance,3591,2002,2
54,"Professional, Scientific, and Technical Services",2887,2002,2
52,Finance and Insurance,4325,2002,2
54,"Professional, Scientific, and Technical Services",3422,2002,2
52,Finance and Insurance,10109,2002,2
54,"Professional, Scientific, and Technical Services",7084,2002,2
52,Finance and Insurance,4120,2002,2
54,"Professional, Scientific, and Technical Services",3507,2002,2
52,Finance and Insurance,3553,2002,3
54,"Professional, Scientific, and Technical Services",3069,2002,3
52,Finance and Insurance,4512,2002,3
54,"Professional, Scientific, and Technical Services",3399,2002,3
52,Finance and Insurance,8981,2002,3
54,"Professional, Scientific, and Technical Services",6856,2002,3
52,Finance and Insurance,4424,2002,3
54,"Professional, Scientific, and Technical Services",3223,2002,3
52,Finance and Insurance,4172,2002,4
54,"Professional, Scientific, and Technical Services",3653,2002,4
52,Finance and Insurance,4700,2002,4
54,"Professional, Scientific, and Technical Services",3793,2002,4
52,Finance and Insurance,11969,2002,4
54,"Professional, Scientific, and Technical Services",8376,2002,4
52,Finance and Insurance,4156,2002,4
54,"Professional, Scientific, and Technical Services",3955,2002,4
52,Finance and Insurance,4341,2003,1
54,"Professional, Scientific, and Technical Services",2689,2003,1
52,Finance and Insurance,5374,2003,1
54,"Professional, Scientific, and Technical Services",3028,2003,1
52,Finance and Insurance,21615,2003,1
54,"Professional, Scientific, and Technical Services",7498,2003,1
52,Finance and Insurance,4306,2003,1
54,"Professional, Scientific, and Technical Services",3113,2003,1
52,Finance and Insurance,3971,2003,2
54,"Professional, Scientific, and Technical Services",3013,2003,2
52,Finance and Insurance,4691,2003,2
54,"Professional, Scientific, and Technical Services",3204,2003,2
52,Finance and Insurance,10521,2003,2
54,"Professional, Scientific, and Technical Services",7190,2003,2
52,Finance and Insurance,5578,2003,2
54,"Professional, Scientific, and Technical Services",3465,2003,2
52,Finance and Insurance,4226,2003,3
54,"Professional, Scientific, and Technical Services",3064,2003,3
52,Finance and Insurance,4935,2003,3
54,"Professional, Scientific, and Technical Services",3199,2003,3
52,Finance and Insurance,9759,2003,3
54,"Professional, Scientific, and Technical Services",7134,2003,3
52,Finance and Insurance,4887,2003,3
54,"Professional, Scientific, and Technical Services",3470,2003,3
52,Finance and Insurance,4749,2003,4
54,"Professional, Scientific, and Technical Services",3939,2003,4
52,Finance and Insurance,5575,2003,4
54,"Professional, Scientific, and Technical Services",3713,2003,4
52,Finance and Insurance,15178,2003,4
54,"Professional, Scientific, and Technical Services",8584,2003,4
52,Finance and Insurance,5705,2003,4
54,"Professional, Scientific, and Technical Services",4047,2003,4
52,Finance and Insurance,5512,2004,1
54,"Professional, Scientific, and Technical Services",2839,2004,1
52,Finance and Insurance,13522,2004,1
54,"Professional, Scientific, and Technical Services",3001,2004,1
52,Finance and Insurance,31658,2004,1
54,"Professional, Scientific, and Technical Services",7946,2004,1
52,Finance and Insurance,6414,2004,1
54,"Professional, Scientific, and Technical Services",3072,2004,1
52,Finance and Insurance,4174,2004,2
54,"Professional, Scientific, and Technical Services",3022,2004,2
52,Finance and Insurance,5394,2004,2
54,"Professional, Scientific, and Technical Services",3374,2004,2
52,Finance and Insurance,10543,2004,2
54,"Professional, Scientific, and Technical Services",7308,2004,2
52,Finance and Insurance,4056,2004,2
54,"Professional, Scientific, and Technical Services",3495,2004,2
52,Finance and Insurance,4248,2004,3
54,"Professional, Scientific, and Technical Services",3123,2004,3
52,Finance and Insurance,6025,2004,3
54,"Professional, Scientific, and Technical Services",3307,2004,3
52,Finance and Insurance,10986,2004,3
54,"Professional, Scientific, and Technical Services",7391,2004,3
52,Finance and Insurance,3854,2004,3
54,"Professional, Scientific, and Technical Services",3559,2004,3
52,Finance and Insurance,4667,2004,4
54,"Professional, Scientific, and Technical Services",3947,2004,4
52,Finance and Insurance,9646,2004,4
54,"Professional, Scientific, and Technical Services",3907,2004,4
52,Finance and Insurance,16083,2004,4
54,"Professional, Scientific, and Technical Services",9485,2004,4
52,Finance and Insurance,4455,2004,4
54,"Professional, Scientific, and Technical Services",4158,2004,4
52,Finance and Insurance,4727,2005,1
54,"Professional, Scientific, and Technical Services",2778,2005,1
52,Finance and Insurance,13370,2005,1
54,"Professional, Scientific, and Technical Services",3081,2005,1
52,Finance and Insurance,36376,2005,1
54,"Professional, Scientific, and Technical Services",8385,2005,1
52,Finance and Insurance,4833,2005,1
54,"Professional, Scientific, and Technical Services",3086,2005,1
52,Finance and Insurance,4030,2005,2
54,"Professional, Scientific, and Technical Services",3171,2005,2
52,Finance and Insurance,5549,2005,2
54,"Professional, Scientific, and Technical Services",3364,2005,2
52,Finance and Insurance,11565,2005,2
54,"Professional, Scientific, and Technical Services",7783,2005,2
52,Finance and Insurance,4343,2005,2
54,"Professional, Scientific, and Technical Services",3355,2005,2
52,Finance and Insurance,4497,2005,3
54,"Professional, Scientific, and Technical Services",3346,2005,3
52,Finance and Insurance,6022,2005,3
54,"Professional, Scientific, and Technical Services",3529,2005,3
52,Finance and Insurance,11961,2005,3
54,"Professional, Scientific, and Technical Services",7820,2005,3
52,Finance and Insurance,4418,2005,3
54,"Professional, Scientific, and Technical Services",3595,2005,3
52,Finance and Insurance,4566,2005,4
54,"Professional, Scientific, and Technical Services",4482,2005,4
52,Finance and Insurance,6324,2005,4
54,"Professional, Scientific, and Technical Services",3781,2005,4
52,Finance and Insurance,17187,2005,4
54,"Professional, Scientific, and Technical Services",9442,2005,4
52,Finance and Insurance,4419,2005,4
54,"Professional, Scientific, and Technical Services",4124,2005,4
52,Finance and Insurance,6941,2006,1
54,"Professional, Scientific, and Technical Services",2993,2006,1
52,Finance and Insurance,17147,2006,1
54,"Professional, Scientific, and Technical Services",3258,2006,1
52,Finance and Insurance,41677,2006,1
54,"Professional, Scientific, and Technical Services",8726,2006,1
52,Finance and Insurance,6682,2006,1
54,"Professional, Scientific, and Technical Services",3451,2006,1
52,Finance and Insurance,4615,2006,2
54,"Professional, Scientific, and Technical Services",3327,2006,2
52,Finance and Insurance,6674,2006,2
54,"Professional, Scientific, and Technical Services",3506,2006,2
52,Finance and Insurance,12858,2006,2
54,"Professional, Scientific, and Technical Services",8027,2006,2
52,Finance and Insurance,5768,2006,2
54,"Professional, Scientific, and Technical Services",3569,2006,2
52,Finance and Insurance,4517,2006,3
54,"Professional, Scientific, and Technical Services",3615,2006,3
52,Finance and Insurance,5874,2006,3
54,"Professional, Scientific, and Technical Services",3496,2006,3
52,Finance and Insurance,12006,2006,3
54,"Professional, Scientific, and Technical Services",7957,2006,3
52,Finance and Insurance,4549,2006,3
54,"Professional, Scientific, and Technical Services",3524,2006,3
52,Finance and Insurance,4875,2006,4
54,"Professional, Scientific, and Technical Services",4113,2006,4
52,Finance and Insurance,6764,2006,4
54,"Professional, Scientific, and Technical Services",4196,2006,4
52,Finance and Insurance,17815,2006,4
54,"Professional, Scientific, and Technical Services",10178,2006,4
52,Finance and Insurance,4996,2006,4
54,"Professional, Scientific, and Technical Services",4178,2006,4
52,Finance and Insurance,7439,2007,1
54,"Professional, Scientific, and Technical Services",3188,2007,1
52,Finance and Insurance,19596,2007,1
54,"Professional, Scientific, and Technical Services",3431,2007,1
52,Finance and Insurance,50179,2007,1
54,"Professional, Scientific, and Technical Services",9424,2007,1
52,Finance and Insurance,7632,2007,1
54,"Professional, Scientific, and Technical Services",3415,2007,1
52,Finance and Insurance,4453,2007,2
54,"Professional, Scientific, and Technical Services",3321,2007,2
52,Finance and Insurance,6713,2007,2
54,"Professional, Scientific, and Technical Services",3722,2007,2
52,Finance and Insurance,13757,2007,2
54,"Professional, Scientific, and Technical Services",8490,2007,2
52,Finance and Insurance,4940,2007,2
54,"Professional, Scientific, and Technical Services",3572,2007,2
52,Finance and Insurance,4590,2007,3
54,"Professional, Scientific, and Technical Services",3755,2007,3
52,Finance and Insurance,6641,2007,3
54,"Professional, Scientific, and Technical Services",3693,2007,3
52,Finance and Insurance,13568,2007,3
54,"Professional, Scientific, and Technical Services",8549,2007,3
52,Finance and Insurance,5004,2007,3
54,"Professional, Scientific, and Technical Services",3686,2007,3
52,Finance and Insurance,4845,2007,4
54,"Professional, Scientific, and Technical Services",4267,2007,4
52,Finance and Insurance,6979,2007,4
54,"Professional, Scientific, and Technical Services",4387,2007,4
52,Finance and Insurance,18463,2007,4
54,"Professional, Scientific, and Technical Services",11148,2007,4
52,Finance and Insurance,4656,2007,4
54,"Professional, Scientific, and Technical Services",4348,2007,4
52,Finance and Insurance,7133,2008,1
54,"Professional, Scientific, and Technical Services",3180,2008,1
52,Finance and Insurance,18451,2008,1
54,"Professional, Scientific, and Technical Services",3656,2008,1
52,Finance and Insurance,47732,2008,1
54,"Professional, Scientific, and Technical Services",10189,2008,1
52,Finance and Insurance,7664,2008,1
54,"Professional, Scientific, and Technical Services",3498,2008,1
52,Finance and Insurance,4556,2008,2
54,"Professional, Scientific, and Technical Services",3533,2008,2
52,Finance and Insurance,6714,2008,2
54,"Professional, Scientific, and Technical Services",3806,2008,2
52,Finance and Insurance,13807,2008,2
54,"Professional, Scientific, and Technical Services",8763,2008,2
52,Finance and Insurance,4564,2008,2
54,"Professional, Scientific, and Technical Services",3679,2008,2
52,Finance and Insurance,4928,2008,3
54,"Professional, Scientific, and Technical Services",3566,2008,3
52,Finance and Insurance,6671,2008,3
54,"Professional, Scientific, and Technical Services",3931,2008,3
52,Finance and Insurance,13453,2008,3
54,"Professional, Scientific, and Technical Services",8652,2008,3
52,Finance and Insurance,4665,2008,3
54,"Professional, Scientific, and Technical Services",3946,2008,3
52,Finance and Insurance,5099,2008,4
54,"Professional, Scientific, and Technical Services",4200,2008,4
52,Finance and Insurance,6607,2008,4
54,"Professional, Scientific, and Technical Services",4639,2008,4
52,Finance and Insurance,18322,2008,4
